,Date,New Cases,New Recovered
2,22-7-2020,45382,30545
647,25-7-2020,48472,36128
862,26-7-2020,50525,32500
1077,27-7-2020,46484,34454
1292,28-7-2020,49632,35581
1507,29-7-2020,52249,32841
1722,06-8-2020,33239,24787
1937,06-8-2020,62170,50184
2152,07-8-2020,61455,50285
2367,09-8-2020,62117,54474
2582,10-8-2020,53016,47362
2797,11-8-2020,61252,56461
3012,12-8-2020,67066,57759
3227,13-8-2020,64142,54776
3442,14-8-2020,65609,56920
3657,15-8-2020,63986,53116
3872,16-8-2020,58108,57404
4087,17-8-2020,54288,58172
4517,24-08-20,59696,66305
4732,25-08-20,66873,64151
4947,26-08-20,75995,56191
5162,27-08-20,76826,59620
5377,28-08-20,76665,64475
5592,29-08-20,78472,64982
5807,30-08-20,79457,60408
6022,31-08-20,68770,64449
6237,09-01-20,78169,60710
6452,09-02-20,82860,67875
6667,09-03-20,84156,65520
6882,09-04-20,87115,69625
7097,09-05-20,90600,73161
7311,09-06-20,91723,69624
7526,09-07-20,75022,74123
7741,09-08-20,89852,74607
7956,09-09-20,95529,70792
8171,09-10-20,96760,70899
8386,09-11-20,97654,81455
8601,09-12-20,94409,77868
8816,13-09-20,93215,77746
9031,14-09-20,81911,79202
9246,15-09-20,91120,82865
9461,16-09-20,97859,82938
9676,17-09-20,96793,87779
9891,18-09-20,92789,95373
10106,19-09-20,92755,94523
10321,20-09-20,87382,92926
10536,21-09-20,74493,102070
10751,22-09-20,80391,87100
10966,23-09-20,89688,90030
11181,24-09-20,85919,81141
11396,25-09-20,85473,93177
11611,26-09-20,88942,92473
11826,27-09-20,82767,74679
12041,28-09-20,69671,85206
12256,29-09-20,80500,86061
12471,30-09-20,86748,85373
12686,10-01-20,81693,78646
12901,10-02-20,79774,76290
13116,10-03-20,75479,81655
13331,10-04-20,74767,76721
13546,10-05-20,59893,75657
13761,10-06-20,72106,82143
13976,10-07-20,78809,83209
14191,10-08-20,70818,78708
14406,10-09-20,73196,82298
14621,10-10-20,74535,89358
14836,10-11-20,67757,71564
15051,10-12-20,54045,78194
15266,13-10-20,63517,73903
15481,14-10-20,67988,80723
15696,15-10-20,60365,68089
15911,16-10-20,65126,72976
16126,17-10-20,62092,72765
16341,18-10-20,55035,64538
16556,19-10-20,46046,70484
16771,20-10-20,54422,61933
16986,21-10-20,56000,79348
17201,22-10-20,54482,74430
17416,23-10-20,54028,67244
17631,24-10-20,50224,62154
17846,25-10-20,45157,58270
18061,26-10-20,36838,64721
18276,27-10-20,42965,58479
18491,28-10-20,49912,57757
18706,29-10-20,49281,56947
18921,30-10-20,48120,59013
19136,31-10-20,46715,58292
19351,11-01-20,46441,53702
19566,11-02-20,37592,58524
19781,11-03-20,46033,53328
19996,11-04-20,50465,55873
20211,11-05-20,47622,54133
20426,11-06-20,49739,53671
20641,11-07-20,46318,48733
20856,11-08-20,46661,48369
21071,11-09-20,37211,41546
21286,11-10-20,44679,54638
21501,13-11-20,45343,48122
